env_step,episode_reward,epoch,rollout_length,step
1014.0,-45380.992565870285,0.0,10.0,1
2029.0,-28354.898048996925,1.0,10.0,2
3044.0,-22553.640208661556,2.0,10.0,3
4059.0,-26804.594725489616,3.0,10.0,4
5074.0,-22031.532866865396,4.0,10.0,5
6089.0,-22773.976521730423,5.0,10.0,6
7104.0,-20746.66578555107,6.0,10.0,7
8119.0,-18126.79342317581,7.0,10.0,8
9134.0,-17897.365961432457,8.0,10.0,9
10149.0,-20232.182225823402,9.0,10.0,10
11164.0,-21313.69092977047,10.0,10.0,11
12179.0,-18694.150374889374,11.0,10.0,12
13194.0,-17991.880787849426,12.0,10.0,13
14209.0,-18150.882340073586,13.0,10.0,14
15224.0,-17327.797214984894,14.0,10.0,15
16239.0,-17688.715403079987,15.0,10.0,16
17254.0,-17005.182056427002,16.0,10.0,17
18269.0,-17320.74565267563,17.0,10.0,18
19284.0,-16821.344604969025,18.0,10.0,19
20299.0,-17063.275243401527,19.0,10.0,20
21314.0,-16668.87814116478,20.0,10.0,21
22329.0,-16789.38991832733,21.0,10.0,22
