epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,61.74904251098633,579.1099650065104,61.74641036987305,1,599.0,149.0
1.0,0.0,61.74904251098633,581.7766927083334,61.742652893066406,2,599.0,149.0
2.0,0.0,61.74904251098633,578.9132893880209,61.73640823364258,3,599.0,149.0
3.0,0.0,61.74904251098633,569.1631673177084,61.72533416748047,4,599.0,149.0
4.0,0.0,61.74904251098633,549.2989908854166,61.705387115478516,5,599.0,149.0
5.0,0.0,61.74904251098633,530.1208699544271,61.66975784301758,6,599.0,149.0
6.0,0.0,61.74904251098633,495.3958231608073,61.60744094848633,7,599.0,149.0
7.0,0.0,61.74904251098633,454.32590738932294,61.501529693603516,8,599.0,149.0
8.0,0.0,61.74904251098633,409.5133361816406,61.32921600341797,9,599.0,149.0
9.0,0.0,61.065738677978516,362.94622802734375,61.065738677978516,10,599.0,149.0
10.0,0.0,61.065738677978516,325.0186462402344,60.69340896606445,11,599.0,149.0
11.0,0.0,60.20182800292969,286.2595520019531,60.20182800292969,12,599.0,149.0
12.0,0.0,59.5805778503418,257.6993459065755,59.5805778503418,13,599.0,149.0
13.0,0.0,58.8166618347168,236.92300415039062,58.8166618347168,14,599.0,149.0
14.0,0.0,57.89863586425781,220.8930206298828,57.89863586425781,15,599.0,149.0
15.0,0.0,56.811920166015625,206.78610229492188,56.811920166015625,16,599.0,149.0
16.0,0.0,55.562503814697266,194.25009155273438,55.562503814697266,17,599.0,149.0
17.0,0.0,54.18418884277344,190.62229919433594,54.18418884277344,18,599.0,149.0
18.0,0.0,52.77775955200195,183.9623769124349,52.77775955200195,19,599.0,149.0
19.0,0.0,51.42997741699219,174.5423380533854,51.42997741699219,20,599.0,149.0
20.0,0.0,50.158546447753906,168.68435668945312,50.158546447753906,21,599.0,149.0
21.0,0.0,48.87166213989258,160.11605326334634,48.87166213989258,22,599.0,149.0
22.0,0.0,47.456905364990234,156.96081034342447,47.456905364990234,23,599.0,149.0
23.0,0.0,45.842342376708984,147.3206583658854,45.842342376708984,24,599.0,149.0
24.0,0.0,44.0051383972168,140.9761962890625,44.0051383972168,25,599.0,149.0
25.0,0.0,41.93293762207031,131.9480768839518,41.93293762207031,26,599.0,149.0
26.0,0.0,39.70222091674805,122.20777638753255,39.70222091674805,27,599.0,149.0
27.0,0.0,37.44228744506836,117.53520202636719,37.44228744506836,28,599.0,149.0
28.0,0.0,35.13288879394531,106.92032623291016,35.13288879394531,29,599.0,149.0
29.0,0.0,32.802276611328125,97.8777338663737,32.802276611328125,30,599.0,149.0
30.0,0.0,30.417659759521484,88.79885355631511,30.417659759521484,31,599.0,149.0
31.0,0.0,27.96340560913086,79.21258290608723,27.96340560913086,32,599.0,149.0
32.0,0.0,25.48469352722168,68.46546936035156,25.48469352722168,33,599.0,149.0
33.0,0.0,23.132434844970703,61.36541748046875,23.132434844970703,34,599.0,149.0
34.0,0.0,20.97950553894043,49.88001505533854,20.97950553894043,35,599.0,149.0
35.0,0.0,19.11779022216797,43.306156158447266,19.11779022216797,36,599.0,149.0
36.0,0.0,17.601619720458984,36.22219276428223,17.601619720458984,37,599.0,149.0
37.0,0.0,16.421892166137695,31.792540232340496,16.421892166137695,38,599.0,149.0
38.0,0.0,15.511703491210938,28.80287742614746,15.511703491210938,39,599.0,149.0
39.0,0.0,14.77808952331543,26.532784779866535,14.77808952331543,40,599.0,149.0
40.0,0.0,14.10779857635498,24.689294815063477,14.10779857635498,41,599.0,149.0
41.0,0.0,13.500739097595215,22.088226954142254,13.500739097595215,42,599.0,149.0
42.0,0.0,12.958036422729492,20.91518274943034,12.958036422729492,43,599.0,149.0
43.0,0.0,12.49091911315918,19.99755350748698,12.49091911315918,44,599.0,149.0
44.0,0.0,12.103442192077637,17.790720621744793,12.103442192077637,45,599.0,149.0
45.0,0.0,11.755732536315918,16.167006810506184,11.755732536315918,46,599.0,149.0
46.0,0.0,11.421121597290039,15.629583358764648,11.421121597290039,47,599.0,149.0
47.0,0.0,11.09632682800293,14.051776885986328,11.09632682800293,48,599.0,149.0
48.0,0.0,10.791972160339355,13.005239168802897,10.791972160339355,49,599.0,149.0
49.0,0.0,10.49332332611084,11.624470710754395,10.49332332611084,50,599.0,149.0
50.0,0.0,10.208415985107422,11.992087999979654,10.208415985107422,51,599.0,149.0
51.0,0.0,9.94577693939209,10.983285268147787,9.94577693939209,52,599.0,149.0
52.0,0.0,9.699681282043457,10.972833315531412,9.699681282043457,53,599.0,149.0
53.0,0.0,9.478446006774902,10.325902938842773,9.478446006774902,54,599.0,149.0
54.0,0.0,9.284802436828613,9.94167391459147,9.284802436828613,55,599.0,149.0
55.0,0.0,9.112967491149902,9.678858439127604,9.112967491149902,56,599.0,149.0
56.0,0.0,8.949745178222656,8.359041531880697,8.949745178222656,57,599.0,149.0
57.0,0.0,8.771567344665527,8.2162504196167,8.771567344665527,58,599.0,149.0
58.0,0.0,8.599365234375,8.034593264261881,8.599365234375,59,599.0,149.0
59.0,0.0,8.442953109741211,6.331099510192871,8.442953109741211,60,599.0,149.0
60.0,0.0,8.302757263183594,7.114443937937419,8.302757263183594,61,599.0,149.0
61.0,0.0,8.175527572631836,6.802633126576741,8.175527572631836,62,599.0,149.0
62.0,0.0,8.066177368164062,5.864032904307048,8.066177368164062,63,599.0,149.0
63.0,0.0,7.966154098510742,4.860003153483073,7.966154098510742,64,599.0,149.0
64.0,0.0,7.87066125869751,4.516066074371338,7.87066125869751,65,599.0,149.0
65.0,0.0,7.781423568725586,5.202188014984131,7.781423568725586,66,599.0,149.0
66.0,0.0,7.695484638214111,4.418779293696086,7.695484638214111,67,599.0,149.0
67.0,0.0,7.618941307067871,4.214512189229329,7.618941307067871,68,599.0,149.0
68.0,0.0,7.562127590179443,3.333907127380371,7.562127590179443,69,599.0,149.0
69.0,0.0,7.562127590179443,2.551963726679484,7.507330417633057,70,599.0,149.0
70.0,0.0,7.457500457763672,2.0809948444366455,7.457500457763672,71,599.0,149.0
71.0,0.0,7.399140357971191,3.162984530131022,7.399140357971191,72,599.0,149.0
72.0,0.0,7.345278739929199,2.301946481068929,7.345278739929199,73,599.0,149.0
73.0,0.0,7.2789998054504395,1.4523744583129883,7.2789998054504395,74,599.0,149.0
74.0,0.0,7.2189412117004395,1.8017804622650146,7.2189412117004395,75,599.0,149.0
75.0,0.0,7.1772847175598145,1.7981163660685222,7.1772847175598145,76,599.0,149.0
76.0,0.0,7.1772847175598145,0.7780003547668457,7.1371235847473145,77,599.0,149.0
77.0,0.0,7.077022552490234,0.5994321505228678,7.077022552490234,78,599.0,149.0
