env_step,episode_reward,epoch,rollout_length,step
1014.0,-28031.915804743767,0.0,1.0,1
2029.0,-26165.79786491394,1.0,1.0,2
3044.0,-24215.15484970808,2.0,1.0,3
4059.0,-20474.738230109215,3.0,1.0,4
5074.0,-18975.504214406013,4.0,1.0,5
6089.0,-19010.890199303627,5.0,1.0,6
7104.0,-20569.159559726715,6.0,1.0,7
8119.0,-18895.732337117195,7.0,1.0,8
9134.0,-20000.74825811386,8.0,1.0,9
10149.0,-20642.791910290718,9.0,1.0,10
11164.0,-18730.679793953896,10.0,1.0,11
12179.0,-18805.184705376625,11.0,1.0,12
13194.0,-19927.95082092285,12.0,1.0,13
14209.0,-18461.353148698807,13.0,1.0,14
15224.0,-20063.264745116234,14.0,1.0,15
16239.0,-19361.293444037437,15.0,1.0,16
17254.0,-18296.563835680485,16.0,1.0,17
18269.0,-18876.420554816723,17.0,1.0,18
19284.0,-19308.952600121498,18.0,1.0,19
20299.0,-18426.58559525013,19.0,1.0,20
21314.0,-18483.019581913948,20.0,1.0,21
22329.0,-20368.26577103138,21.0,1.0,22
