env_step,episode_reward,epoch,rollout_length,step
1015.0,-29443.220774650574,0.0,0.0,1
2030.0,-21130.22062110901,1.0,0.0,2
3045.0,-21308.850005030632,2.0,0.0,3
4060.0,-20665.01952791214,3.0,0.0,4
5075.0,-21348.528783798218,4.0,0.0,5
6090.0,-21174.584934592247,5.0,0.0,6
7105.0,-20415.97705888748,6.0,0.0,7
8120.0,-21354.74205482006,7.0,0.0,8
9135.0,-19641.90650177002,8.0,0.0,9
10150.0,-19081.26070189476,9.0,0.0,10
11165.0,-18309.934826493263,10.0,0.0,11
12180.0,-18862.788776755333,11.0,0.0,12
13195.0,-18119.65067279339,12.0,0.0,13
14210.0,-17656.114245533943,13.0,0.0,14
15225.0,-18151.777458906174,14.0,0.0,15
16240.0,-18303.77655649185,15.0,0.0,16
17255.0,-19044.73291695118,16.0,0.0,17
18270.0,-17826.260715723038,17.0,0.0,18
19285.0,-18042.313302874565,18.0,0.0,19
20300.0,-18246.538925647736,19.0,0.0,20
21315.0,-17976.754037499428,20.0,0.0,21
22330.0,-17343.587156176567,21.0,0.0,22
